Polysync Actuator Board BOM V1.2.0,,,,,,,,
,,,,,,,,
Quantity,Reference Designator,Description,Mfg,Mfg Part No.,Distributor,Distributor Part No.,Price,Total Price
8,"R7, R8, R11, R12, R25, R26, R27, R28",RES SMD 0.02 OHM 1% 1W 1206,Panasonic Electronic Components,ERJ-8CWFR020V,Digikey,P0.02BVCT-ND,0.69,5.52
1,R101,RES SMD 0.3 OHM 1% 1/6W 0402,Panasonic Electronic Components,ERJ-2BQFR30X,Digikey,P.30AKCT-ND,0.59,0.59
5,"R106, R107, R108, R109, R110",RES SMD 0.0OHM JUMPER 1/10W 0402,Panasonic Electronic Components,ERJ-2GE0R00X,Digikey,P0.0JCT-ND,0.1,0.5
8,"R9, R10, R15, R16, R29, R30, R31, R32",RES SMD 0.0 OHM JUMPER 1/8W 0805,Panasonic Electronic Components,ERJ-6GEY0R00V,Digikey,P0.0ACT-ND,0.1,0.8
8,"R3, R4, R5, R6, R21, R22, R23, R24",RES SMD 100 OHM 1% 1/8W 0805,Panasonic Electronic Components,ERJ-6ENF1000V,Digikey,P100CCT-ND,0.1,0.8
24,"R33, R34, R35, R45, R46, R47, R48, R49, R50, R57, R61, R62, R65, R66, R67, R77, R78, R79, R80, R81, R82, R89, R93, R94",RES SMD 100K OHM 1% 1/10W 0402,Panasonic Electronic Components,ERJ-2RKF1003X,Digikey,P100KLCT-ND,0.1,2.4
10,"R1, R2, R13, R14, R17, R18, R19, R20, R104, R121",RES SMD 10K OHM 1% 1/10W 0402,Panasonic Electronic Components,ERJ-2RKF1002X,Digikey,P10.0KLCT-ND,0.1,1
1,R102,RES SMD 120 OHM 1% 1/10W 0402,Panasonic Electronic Components,ERJ-2RKF1200X,Digikey,P120LCT-ND,0.1,0.1
48,"R36, R37, R38, R39, R40, R41, R42, R43, R44, R51, R52, R53, R54, R55, R56, R58, R59, R60, R63, R64, R68, R69, R70, R71, R72, R73, R74, R75, R76, R83, R84, R85, R86, R87, R88, R90, R91, R92, R95, R96, R97, R98, R99, R100, R103, R116, R117, R119",RES SMD 1K OHM 1% 1/10W 0402,Panasonic Electronic Components,ERJ-2RKF1001X,Digikey,P1.00KLCT-ND,0.1,4.8
2,"R105, R120",RES SMD 47K OHM 1% 1/10W 0402,Panasonic Electronic Components,ERJ-2RKF4702X,Digikey,P47.0KLCT-ND,0.1,0.2
1,R118,RES SMD 5.1K OHM 1% 1/10W 0402,Panasonic Electronic Components,ERJ-2RKF5101X,Digikey,P5.10KLCT-ND,0.1,0.1
18,"C26, C27, C29, C30, C32, C33, C35, C36, C38, C39, C41, C42, C44, C45, C47, C48, C49, C51",0.10µF ±10% 100V Ceramic Capacitor X5R 0402 (1005 Metric),Murata Electronics North America,GRM155R62A104KE14D,Digikey,490-10458-1-ND,0.1,1.8
12,"C3, C4, C7, C8, C11, C12, C19, C20, C21, C22, C23, C24",0.10µF ±10% 100V Ceramic Capacitor X7R 0805 (2012 Metric),"Samsung Electro-Mechanics America, Inc.",CL21B104KCFNNNE,Digikey,1276-6840-1-ND,0.1,1.2
8,"C25, C28, C31, C34, C37, C40, C43, C46","100pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",Yageo,CC0402JRNPO9BN101,Digikey,311-1024-1-ND,0.1,0.8
12,"C1, C2, C5, C6, C9, C10, C13, C14, C15, C16, C17, C18",1µF ±10% 100V Ceramic Capacitor X7R 1206 (3216 Metric),"Samsung Electro-Mechanics America, Inc.",CL31B105KCHNNNE,Digikey,1276-1838-1-ND,0.29,3.48
