"# Generated by MacroFab for PCB 0yg5f4, version 1.",,,,,,,,,,,,,,,
# DESIGNATOR,X_LOC,Y_LOC,ROTATION,SIDE,TYPE,X_SIZE,Y_SIZE,VALUE,FOOTPRINT,POPULATE,MPN,MPN1,MPN2,MPN3,
ADCH,3810,2170,0,2,2,733.46,33.46,8x1F-H8.5,1X08,1,,,,,61300811121
ADCL,2910,2170,0,2,2,733.46,33.46,8x1F-H8.5,1X08,1,,,,,61300811121
C1,1760,1045,0,2,1,149.61,62.99,1u,C1206,1,,,,,CL31B105KCHNNNE
C10,6185,1045,0,2,1,149.61,62.99,1u,C1206,1,,,,,CL31B105KCHNNNE
C11,510,770,270,2,1,102.36,51.18,0.1u,C0805,1,,,,,CL21B104KCFNNNE
C12,3560,770,270,2,1,102.36,51.18,0.1u,C0805,1,,,,,CL21B104KCFNNNE
C13,760,5145,180,2,1,149.61,62.99,1u,C1206,1,,,,,CL31B105KCHNNNE
C14,2235,5145,180,2,1,149.61,62.99,1u,C1206,1,,,,,CL31B105KCHNNNE
C15,3710,5145,180,2,1,149.61,62.99,1u,C1206,1,,,,,CL31B105KCHNNNE
C16,5185,5145,180,2,1,149.61,62.99,1u,C1206,1,,,,,CL31B105KCHNNNE
C17,3485,5420,90,2,1,149.61,62.99,1u,C1206,1,,,,,CL31B105KCHNNNE
C18,6460,5420,90,2,1,149.61,62.99,1u,C1206,1,,,,,CL31B105KCHNNNE
C19,1760,4820,180,2,1,102.36,51.18,0.1u,C0805,1,,,,,CL21B104KCFNNNE
C2,3235,1045,0,2,1,149.61,62.99,1u,C1206,1,,,,,CL31B105KCHNNNE
C20,3235,4820,180,2,1,102.36,51.18,0.1u,C0805,1,,,,,CL21B104KCFNNNE
C21,4710,4820,180,2,1,102.36,51.18,0.1u,C0805,1,,,,,CL21B104KCFNNNE
C22,6185,4820,180,2,1,102.36,51.18,0.1u,C0805,1,,,,,CL21B104KCFNNNE
C23,3385,5420,90,2,1,102.36,51.18,0.1u,C0805,1,,,,,CL21B104KCFNNNE
C24,6360,5420,90,2,1,102.36,51.18,0.1u,C0805,1,,,,,CL21B104KCFNNNE
C25,585,1445,180,2,1,62.99,23.62,100p,C0402,1,,,,,CC0402JRNPO9BN101
C26,460,1720,270,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C27,560,1770,90,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C28,2060,1445,180,2,1,62.99,23.62,100p,C0402,1,,,,,CC0402JRNPO9BN101
C29,1935,1720,270,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C3,3710,1370,0,2,1,102.36,51.18,0.1u,C0805,1,,,,,CL21B104KCFNNNE
C30,2035,1770,90,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C31,3535,1445,180,2,1,62.99,23.62,100p,C0402,1,,,,,CC0402JRNPO9BN101
C32,3410,1720,270,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C33,3510,1770,90,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C34,5010,1445,180,2,1,62.99,23.62,100p,C0402,1,,,,,CC0402JRNPO9BN101
C35,4885,1720,270,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C36,4985,1770,90,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C37,1935,4745,0,2,1,62.99,23.62,100p,C0402,1,,,,,CC0402JRNPO9BN101
C38,2060,4470,90,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C39,1960,4420,270,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C4,5185,1370,0,2,1,102.36,51.18,0.1u,C0805,1,,,,,CL21B104KCFNNNE
C40,3410,4745,0,2,1,62.99,23.62,100p,C0402,1,,,,,CC0402JRNPO9BN101
C41,3535,4470,90,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C42,3435,4420,270,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C43,4885,4745,0,2,1,62.99,23.62,100p,C0402,1,,,,,CC0402JRNPO9BN101
C44,6485,4470,90,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C45,4910,4420,270,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C46,6360,4745,0,2,1,62.99,23.62,100p,C0402,1,,,,,CC0402JRNPO9BN101
C47,5010,4470,90,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C48,6385,4420,270,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C49,6310,2820,180,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C5,3460,770,270,2,1,149.61,62.99,1u,C1206,1,,,,,CL31B105KCHNNNE
C50,6260,2745,180,2,1,149.61,62.99,33u,CP1206,1,,,,,TAJA336K010RNJ
C51,5390,4190,90,2,1,62.99,23.62,.1u,C0402,1,,,,,GRM155R62A104KE14D
C52,5385,2395,270,2,1,62.99,23.62,22p,C0402,1,,,,,
C53,5385,2295,90,2,1,62.99,23.62,22p,C0402,1,,,,,
C6,410,770,270,2,1,149.61,62.99,1u,C1206,1,,,,,CL31B105KCHNNNE
C7,760,1370,0,2,1,102.36,51.18,0.1u,C0805,1,,,,,CL21B104KCFNNNE
